sample	LONDD	LATDD	ELEV
S930	-116.87	46.8	1433
S931	-116.85	46.8	1372
S932	-116.83	46.8	1402
S933	-116.75	38.83	2063
S934	-116.75	38.83	2064
S935	-116.75	38.83	2065
S936	-116.75	38.83	2066
S937	-116.75	38.83	2067
S938	-116.75	38.83	2068
S939	-116.75	38.83	2069
S940	-116.75	38.83	2070
S941	-116.75	38.83	2097
S942	-116.75	38.83	2125
S943	-116.75	38.83	2153
S944	-116.75	38.83	2180
S945	-116.75	38.83	2208
S946	-116.75	38.83	2263
S947	-116.75	38.83	2291
S948	-116.75	38.83	2291
S949	-116.75	38.83	2320
S950	-116.75	38.83	2340
S951	-116.75	38.83	2380
S952	-116.75	38.83	2420
S953	-116.75	38.83	2484
S954	-116.75	38.83	2553
S955	-116.75	38.83	2622
S956	-116.67	46.77	853
S957	-116.67	46.97	884
S958	-116.67	46.98	884
S959	-116.67	47	884
S960	-116.65	46.93	914
S961	-116.35	50.87	1067
S962	-116.33	50.75	1100
S963	-116.1	47.13	1036
S964	-116.08	47.72	1554
S965	-116.02	47	1524
S966	-116	43	1585
S967	-116	43	1646
S968	-116	43	1950
S969	-116	50.68	1219
S970	-115.7	49.31	1676
S971	-115.5	36.25	1905
S972	-115.5	36.25	1965
S973	-115.5	36.25	2075
S974	-115.5	36.25	2105
S975	-115.5	41.25	1992
S976	-115.5	41.25	2073
S977	-115.5	41.25	2120
S978	-115.5	41.25	2431
S979	-115.333	51.25	1415
S980	-115.26	49.68	1219
S981	-115.2	46.47	1707
S982	-115.17	49.17	853
S983	-115.13	50.7	1829
S984	-114.6667	51.9	1200
S985	-114.6	50.767	1480
S986	-114.52	50.18	2040
